"FIPS","County","State","Poverty_Sub125","SNAP_Recipients","SNAP_ParticipationRatio","Population"
"17121","Marion County","Illinois",8419.615,"8620",1.023799781819,"39417"
"17143","Peoria County","Illinois",32799.104,"32508",0.991124635599802,"186311"
"17161","Rock Island County","Illinois",24332.78,"20154",0.828265409870964,"147517"
"17163","St. Clair County","Illinois",52922.182,"48767",0.921485058949384,"270419"
"17167","Sangamon County","Illinois",32482.476,"29894",0.920311616639077,"197822"
"17177","Stephenson County","Illinois",8711.28,"7572",0.869217841694906,"47649"
"17179","Tazewell County","Illinois",13455.199,"13648",1.01432910802731,"135433"
"17183","Vermilion County","Illinois",19185.725,"18081",0.942419429028614,"81551"
"17195","Whiteside County","Illinois",8756.72,"6823",0.779173023689235,"58448"
"17197","Will County","Illinois",60005.309,"54730",0.912085962260439,"678697"
"17199","Williamson County","Illinois",13387.92,"11936",0.891549994323241,"66369"
"17201","Winnebago County","Illinois",58556.365,"55199",0.94266438840594,"295127"
"18001","Adams County","Indiana",7309.645,"3117",0.426422897418411,"34396"
"18003","Allen County","Indiana",59254.516,"49942",0.842838712917679,"355856"
"18005","Bartholomew County","Indiana",10499.001,"8341",0.794456539245972,"76855"
"18017","Cass County","Indiana",7484.227,"5288",0.706552593875092,"38965"
"18019","Clark County","Indiana",17074.05,"12171",0.712836146081334,"110610"
"18035","Delaware County","Indiana",26905.758,"18244",0.67807047101219,"117669"
"18039","Elkhart County","Indiana",36532.566,"30390",0.831860537800712,"197646"
"18043","Floyd County","Indiana",10213.476,"9149",0.895777304416244,"74679"
"18053","Grant County","Indiana",14620.698,"11949",0.817266042975513,"69975"
"18057","Hamilton County","Indiana",15856.645,"8427",0.531449118019606,"276390"
"18063","Hendricks County","Indiana",11216.124,"6675",0.595125374862118,"145867"
"18065","Henry County","Indiana",8667.928,"8004",0.923404070730629,"49476"
"18067","Howard County","Indiana",16600.922,"13175",0.793630618829484,"82770"
"18081","Johnson County","Indiana",14078.097,"12076",0.857786389737192,"140009"
"18083","Knox County","Indiana",7734.96,"5538",0.715970089050234,"38405"
"18085","Kosciusko County","Indiana",11456.672,"7096",0.619377075646401,"77368"
"18087","LaGrange County","Indiana",7587.378,"2088",0.275193881206393,"37134"
"18089","Lake County","Indiana",100663.96,"92204",0.915958402590162,"495981"
"18091","LaPorte County","Indiana",18477.633,"18766",1.01560627381224,"111465"
"18093","Lawrence County","Indiana",9987.495,"5969",0.597647358021206,"46124"
"18095","Madison County","Indiana",23737.833,"19721",0.830783500751733,"131642"
"18097","Marion County","Indiana",196035.975,"177027",0.90303323152804,"904878"
"18099","Marshall County","Indiana",7855.458,"5126",0.65253992828935,"47020"
"18103","Miami County","Indiana",7468.767,"5347",0.715914688461964,"36800"
"18105","Monroe County","Indiana",36798.862,"10168",0.276312892501947,"138422"
"18109","Morgan County","Indiana",9466.456,"9272",0.979458416116866,"69061"
"18113","Noble County","Indiana",7025.275,"4968",0.707160929643324,"47541"
"18127","Porter County","Indiana",20597.33,"13846",0.672223050269137,"164592"
"18141","St. Joseph County","Indiana",46837.005,"40899",0.873219797038688,"266961"
"18157","Tippecanoe County","Indiana",37758.048,"16851",0.446288960700511,"172963"
"18163","Vanderburgh County","Indiana",34809.425,"25951",0.74551648009124,"179833"
"18167","Vigo County","Indiana",24303.752,"17219",0.70849142963605,"107958"
"18177","Wayne County","Indiana",13587.732,"11253",0.828173531830036,"68853"
"19013","Black Hawk County","Iowa",25971.99,"17957",0.69139869528673,"131221"
"19045","Clinton County","Iowa",7058.31,"8302",1.17620223537929,"49093"
"19057","Des Moines County","Iowa",7260.525,"7907",1.08903970442909,"40318"
"19061","Dubuque County","Iowa",11641.212,"10070",0.865030204758748,"93880"
"19103","Johnson County","Iowa",25941.207,"9800",0.377777333182685,"131225"
"19113","Linn County","Iowa",26103.021,"24061",0.921770702325987,"211501"
"19127","Marshall County","Iowa",7206.942,"6409",0.889281473335015,"40746"
"19139","Muscatine County","Iowa",7555.86,"6748",0.893081661121302,"42738"
"19153","Polk County","Iowa",57964.395,"58830",1.01493339143797,"432260"
"19155","Pottawattamie County","Iowa",15550.38,"14692",0.94480006276374,"93359"
"19163","Scott County","Iowa",26389.02,"28334",1.07370413906996,"165841"
"19169","Story County","Iowa",18230.652,"6225",0.341457891906444,"89575"
"19179","Wapello County","Iowa",7780.916,"7328",0.941791429183916,"35667"
"19193","Woodbury County","Iowa",18260.176,"16922",0.926716149942914,"102407"
"20015","Butler County","Kansas",7119.339,"5486",0.770577156109577,"65923"
"20037","Crawford County","Kansas",9427.058,"6228",0.660651499120935,"39185"
"20045","Douglas County","Kansas",23857.554,"8037",0.336874433984305,"111130"
"20055","Finney County","Kansas",7160.9,"4816",0.672541161027245,"37013"
"20057","Ford County","Kansas",7300.252,"3772",0.516694492190133,"34094"
"20091","Johnson County","Kansas",41024.49,"21249",0.517958906984584,"545876"
"20103","Leavenworth County","Kansas",7204.396,"5660",0.785631439471123,"76504"
"20111","Lyon County","Kansas",10193.42,"4743",0.465300164223587,"33654"
"20125","Montgomery County","Kansas",7053.032,"5513",0.78164965081684,"35390"
"20155","Reno County","Kansas",11201.604,"7898",0.705077594244539,"64597"
"20161","Riley County","Kansas",17896.44,"3049",0.170369078990011,"71481"
"20169","Saline County","Kansas",9132.06,"6632",0.726232635352812,"55733"
"20173","Sedgwick County","Kansas",86906.245,"74011",0.851618891139526,"499393"
"20177","Shawnee County","Kansas",33886.955,"24787",0.731461413396394,"178301"
"20209","Wyandotte County","Kansas",42629.354,"31582",0.740851010784728,"157845"
