"FIPS","PopMean_2010","UrbanRuralStatus_2013","Hispanic_Race_2014","White_Race_2014","Black_Race_2014","Native_Race_2014","Asian_Race_2014","Islander_Race_2014","Others_Race_2014","More_Race_2014","Male_Sex_Sub125","Female_Sex_Sub125","Sub18_Age_Sub125","From18To64_Age_Sub125","Over65and65_Age_Sub125","LessThanHighSchool_Edu_Sub125","HighSchoolGraduate_Edu_Sub125","CollegeDegree_Edu_Sub125","BachelorOrHigher_Edu_Sub125","Yes_Disability_Sub125","No_Disability_Sub125","Fulltime_Work_Sub125","Parttime_Work_Sub125","No_Work_Sub125"
2922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,71597,6,1258.075,3300.912,274.131,25553.004,128.044,38.019,163.773,517.5,15268.44,15481.951,11362.338,16636.879,2735.946,5604.48,5936.31,3674.454,428.4,4633.074,26107.395,1505.608,3265.843,13189.365
4003,131567.5,2,15192.29,12127.278,575.205,619.223,242.424,130.95,4348.96,2328.669,12869.024,16549.492,9820.836,15464.828,4128.775,4629.926,5029.18,5318.775,1609.04,5669.28,23635.92,2464.326,5958.966,7720.116
4005,134536,2,6891.92,13420.512,547.4,15356.201,849.15,67.95,2340.309,1893.255,18017.244,19523.358,10781.4,24706.232,2125.512,4235.523,4367.715,5308.45,2485.632,4750.181,32779.695,3193.587,12904.496,9568.875
4007,53583,3,2859.6,7082.67,125.874,4753.404,7.956,0,345.984,461.898,6997.762,8064.505,5037.184,8502.065,1517.724,2444.8,2682.974,2873.123,337.636,3255.098,11803.12,1018.381,2525.454,5448.556
4009,37165,8,2457.756,3683.44,74.98,2895.6,2.99,0,444.447,158.974,4056.54,5051.376,3507.894,4902.654,700.411,963.243,1456.917,1541.582,178.608,1206.576,7886.86,574.028,1700.748,2905.325
4011,8395,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,20473.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,NA,1,441702.518,297632.148,63367.224,25567.79,24439.662,2587.325,91600.047,26970,409312.089,456065.61,309900.926,492766.214,61906.216,139592.544,124766.454,119197.593,51056.881,106339.959,758244.655,84333.732,167768.649,269542.385
4015,200183.5,2,11476.632,38536.94,749.493,1293.774,313.426,58.968,1852.257,1641.804,25224.82,27987.68,16776.288,29480.51,6836.04,9061.041,10945.909,9845.656,1769.684,11572.61,41650.488,3298.968,11082.082,16901.925
4017,107500,5,4230.597,9557.245,147.06,26323.392,68.072,105.105,999.873,1246.83,19141.26,21781.295,15395.37,21848.13,3713.76,6739.143,6715.364,6446.776,1139.187,7791.645,33109.23,2199.94,6063.207,15131.292
